nohup: ignoring input
Total docs (missing docs only): 2255299
Processed 286000/2255299 (12.68%) | 3642.1 docs/s | ETA 00:09:00
Processed 288000/2255299 (12.77%) | 3647.3 docs/s | ETA 00:08:59
Processed 290000/2255299 (12.86%) | 3649.2 docs/s | ETA 00:08:58
Processed 292000/2255299 (12.95%) | 3653.2 docs/s | ETA 00:08:57
Processed 294000/2255299 (13.04%) | 3656.1 docs/s | ETA 00:08:56
Processed 296000/2255299 (13.12%) | 3658.3 docs/s | ETA 00:08:55
Processed 298000/2255299 (13.21%) | 3662.7 docs/s | ETA 00:08:54
Processed 300000/2255299 (13.30%) | 3667.1 docs/s | ETA 00:08:53
Committed intermediate batch
Processed 302000/2255299 (13.39%) | 3651.1 docs/s | ETA 00:08:54
Processed 304000/2255299 (13.48%) | 3654.9 docs/s | ETA 00:08:53
Processed 306000/2255299 (13.57%) | 3658.8 docs/s | ETA 00:08:52
Processed 308000/2255299 (13.66%) | 3662.9 docs/s | ETA 00:08:51
Processed 310000/2255299 (13.75%) | 3665.9 docs/s | ETA 00:08:50
Processed 312000/2255299 (13.83%) | 3666.6 docs/s | ETA 00:08:50
Processed 314000/2255299 (13.92%) | 3668.6 docs/s | ETA 00:08:49
Processed 316000/2255299 (14.01%) | 3672.9 docs/s | ETA 00:08:47
Processed 318000/2255299 (14.10%) | 3676.8 docs/s | ETA 00:08:46
Processed 320000/2255299 (14.19%) | 3680.1 docs/s | ETA 00:08:45
Committed intermediate batch
Processed 322000/2255299 (14.28%) | 3660.8 docs/s | ETA 00:08:48
Processed 324000/2255299 (14.37%) | 3664.1 docs/s | ETA 00:08:47
Processed 326000/2255299 (14.45%) | 3669.7 docs/s | ETA 00:08:45
Processed 328000/2255299 (14.54%) | 3674.0 docs/s | ETA 00:08:44
Processed 330000/2255299 (14.63%) | 3677.6 docs/s | ETA 00:08:43
Processed 332000/2255299 (14.72%) | 3681.2 docs/s | ETA 00:08:42
Processed 334000/2255299 (14.81%) | 3684.1 docs/s | ETA 00:08:41
Processed 336000/2255299 (14.90%) | 3683.3 docs/s | ETA 00:08:41
Processed 338000/2255299 (14.99%) | 3687.4 docs/s | ETA 00:08:39
Processed 340000/2255299 (15.08%) | 3690.4 docs/s | ETA 00:08:38
Committed intermediate batch
Processed 342000/2255299 (15.16%) | 3670.3 docs/s | ETA 00:08:41
Processed 344000/2255299 (15.25%) | 3673.3 docs/s | ETA 00:08:40
Processed 346000/2255299 (15.34%) | 3675.9 docs/s | ETA 00:08:39
Processed 348000/2255299 (15.43%) | 3679.5 docs/s | ETA 00:08:38
Processed 350000/2255299 (15.52%) | 3682.6 docs/s | ETA 00:08:37
Processed 352000/2255299 (15.61%) | 3684.0 docs/s | ETA 00:08:36
Processed 354000/2255299 (15.70%) | 3685.5 docs/s | ETA 00:08:35
Processed 356000/2255299 (15.79%) | 3689.4 docs/s | ETA 00:08:34
Processed 358000/2255299 (15.87%) | 3693.0 docs/s | ETA 00:08:33
Processed 360000/2255299 (15.96%) | 3694.2 docs/s | ETA 00:08:33
Committed intermediate batch
Processed 362000/2255299 (16.05%) | 3677.0 docs/s | ETA 00:08:34
Processed 364000/2255299 (16.14%) | 3681.3 docs/s | ETA 00:08:33
Processed 366000/2255299 (16.23%) | 3685.0 docs/s | ETA 00:08:32
Processed 368000/2255299 (16.32%) | 3688.8 docs/s | ETA 00:08:31
Processed 370000/2255299 (16.41%) | 3692.4 docs/s | ETA 00:08:30
Processed 372000/2255299 (16.49%) | 3697.0 docs/s | ETA 00:08:29
Processed 374000/2255299 (16.58%) | 3701.1 docs/s | ETA 00:08:28
Processed 376000/2255299 (16.67%) | 3703.6 docs/s | ETA 00:08:27
Processed 378000/2255299 (16.76%) | 3707.5 docs/s | ETA 00:08:26
